ts,sleeve,action,detail
2026-12-05 15:00:00-05:00,btc,trade,sell 0.001297 BTC-USD limit 106240 in weekend: above band: 37.13% vs 33.00%-37.00%
2026-12-05 15:30:00-05:00,btc,skip,trade $19.52 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-05 16:00:00-05:00,btc,ok,in band
2026-12-05 16:30:00-05:00,btc,skip,trade $6.88 under $25 minimum (above band: 37.01% vs 33.00%-37.00%)
2026-12-05 17:00:00-05:00,btc,trade,sell 0.000436 BTC-USD limit 106454 in weekend: above band: 37.04% vs 33.00%-37.00%
2026-12-05 17:30:00-05:00,btc,skip,trade $15.20 under $25 minimum (above band: 37.01% vs 33.00%-37.00%)
2026-12-05 18:00:00-05:00,btc,trade,sell 0.000733 BTC-USD limit 107084 in weekend: above band: 37.08% vs 33.00%-37.00%
2026-12-05 18:30:00-05:00,btc,ok,in band
2026-12-06 00:30:00-05:00,btc,skip,trade $23.85 under $25 minimum (above band: 37.02% vs 33.00%-37.00%)
2026-12-06 01:00:00-05:00,btc,trade,sell 0.001254 BTC-USD limit 108268 in weekend: above band: 37.13% vs 33.00%-37.00%
2026-12-06 01:30:00-05:00,btc,trade,sell 0.000649 BTC-USD limit 108668 in weekend: above band: 37.07% vs 33.00%-37.00%
2026-12-06 02:00:00-05:00,btc,ok,in band
2026-12-06 05:30:00-05:00,btc,skip,trade $0.31 under $25 minimum (above band: 37.00% vs 33.00%-37.00%)
2026-12-06 06:00:00-05:00,btc,ok,in band
2026-12-06 19:00:00-05:00,btc,skip,trade $12.15 under $25 minimum (above band: 37.01% vs 33.00%-37.00%)
2026-12-06 20:30:00-05:00,btc,ok,in band
2026-12-06 21:00:00-05:00,btc,trade,sell 0.000855 BTC-USD limit 107455 in overnight: above band: 37.09% vs 33.00%-37.00%
2026-12-06 21:30:00-05:00,btc,trade,sell 0.000684 BTC-USD limit 107660 in overnight: above band: 37.07% vs 33.00%-37.00%
2026-12-06 22:00:00-05:00,btc,ok,in band
2026-12-07 10:30:00-05:00,btc,trade,sell 0.00068 BTC-USD limit 107157 in regular: above band: 37.07% vs 33.00%-37.00%
2026-12-07 11:00:00-05:00,btc,ok,in band
2026-12-07 12:00:00-05:00,btc,skip,trade $0.96 under $25 minimum (above band: 37.00% vs 33.00%-37.00%)
2026-12-07 12:30:00-05:00,btc,ok,in band
2026-12-09 23:30:00-05:00,btc,trade,sell 0.001248 BTC-USD limit 107926 in overnight: above band: 37.13% vs 33.00%-37.00%
2026-12-10 00:00:00-05:00,btc,trade,sell 0.002101 BTC-USD limit 109304 in overnight: above band: 37.22% vs 33.00%-37.00%
2026-12-10 00:30:00-05:00,btc,trade,sell 0.001104 BTC-USD limit 110010 in overnight: above band: 37.12% vs 33.00%-37.00%
2026-12-10 01:00:00-05:00,btc,trade,sell 0.00301 BTC-USD limit 111827 in overnight: above band: 37.32% vs 33.00%-37.00%
2026-12-10 01:30:00-05:00,btc,trade,sell 0.001922 BTC-USD limit 113085 in overnight: above band: 37.20% vs 33.00%-37.00%
2026-12-10 01:30:00-05:00,eth,trade,sell 0.0069 ETH-USD limit 3932.12 in overnight: above band: 16.53% vs 13.50%-16.50%
2026-12-10 02:00:00-05:00,us_large_cap,skip,trade $19.85 under $25 minimum (below band: 25.93% vs 26.00%-34.00%; off-hours cap 25% of $79 needed)
2026-12-10 02:00:00-05:00,btc,trade,sell 0.001642 BTC-USD limit 114314 in overnight: above band: 37.18% vs 33.00%-37.00%
2026-12-10 02:00:00-05:00,eth,trade,sell 0.02228 ETH-USD limit 3975.95 in overnight: above band: 16.58% vs 13.50%-16.50%
2026-12-10 02:30:00-05:00,btc,trade,sell 0.001016 BTC-USD limit 115246 in overnight: above band: 37.11% vs 33.00%-37.00%
2026-12-10 02:30:00-05:00,eth,trade,sell 0.01909 ETH-USD limit 4013.86 in overnight: above band: 16.57% vs 13.50%-16.50%
2026-12-10 02:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-10 03:00:00-05:00,btc,trade,sell 0.001113 BTC-USD limit 116030 in overnight: above band: 37.12% vs 33.00%-37.00%
2026-12-10 03:00:00-05:00,eth,trade,sell 0.00974 ETH-USD limit 4037.03 in overnight: above band: 16.54% vs 13.50%-16.50%
2026-12-10 03:30:00-05:00,eth,trade,sell 0.03621 ETH-USD limit 4087.91 in overnight: above band: 16.64% vs 13.50%-16.50%
2026-12-10 03:30:00-05:00,btc,trade,sell 0.001073 BTC-USD limit 116891 in overnight: above band: 37.12% vs 33.00%-37.00%
2026-12-10 04:00:00-05:00,btc,trade,sell 0.000423 BTC-USD limit 117179 in pre: above band: 37.05% vs 33.00%-37.00%
2026-12-10 04:00:00-05:00,eth,trade,sell 0.00694 ETH-USD limit 4099.43 in pre: above band: 16.53% vs 13.50%-16.50%
2026-12-10 04:30:00-05:00,btc,ok,in band
2026-12-10 04:30:00-05:00,eth,skip,trade $16.01 under $25 minimum (above band: 16.51% vs 13.50%-16.50%)
2026-12-10 05:30:00-05:00,eth,trade,sell 0.03547 ETH-USD limit 4148.24 in pre: above band: 16.64% vs 13.50%-16.50%
2026-12-10 06:00:00-05:00,btc,trade,sell 0.000936 BTC-USD limit 118332 in pre: above band: 37.10% vs 33.00%-37.00%
2026-12-10 06:00:00-05:00,eth,trade,sell 0.00746 ETH-USD limit 4169.47 in pre: above band: 16.53% vs 13.50%-16.50%
2026-12-10 06:30:00-05:00,eth,ok,in band
2026-12-10 06:30:00-05:00,btc,trade,sell 0.000228 BTC-USD limit 118405 in pre: above band: 37.02% vs 33.00%-37.00%
2026-12-10 07:00:00-05:00,btc,trade,sell 0.000607 BTC-USD limit 118522 in pre: above band: 37.07% vs 33.00%-37.00%
2026-12-10 07:30:00-05:00,btc,ok,in band
2026-12-10 08:00:00-05:00,eth,skip,trade $7.30 under $25 minimum (above band: 16.51% vs 13.50%-16.50%)
2026-12-10 08:00:00-05:00,btc,trade,sell 0.000663 BTC-USD limit 119244 in pre: above band: 37.07% vs 33.00%-37.00%
2026-12-10 08:30:00-05:00,btc,trade,sell 0.000704 BTC-USD limit 119586 in pre: above band: 37.08% vs 33.00%-37.00%
2026-12-10 08:30:00-05:00,eth,trade,sell 0.01534 ETH-USD limit 4201.4 in pre: above band: 16.56% vs 13.50%-16.50%
2026-12-10 09:00:00-05:00,eth,trade,sell 0.0167 ETH-USD limit 4228.84 in pre: above band: 16.56% vs 13.50%-16.50%
2026-12-10 09:00:00-05:00,btc,trade,sell 0.000343 BTC-USD limit 120021 in pre: above band: 37.04% vs 33.00%-37.00%
2026-12-10 09:30:00-05:00,btc,trade,sell 0.000628 BTC-USD limit 120622 in regular: above band: 37.07% vs 33.00%-37.00%
2026-12-10 09:30:00-05:00,eth,trade,sell 0.01237 ETH-USD limit 4254.41 in regular: above band: 16.55% vs 13.50%-16.50%
2026-12-10 09:30:00-05:00,us_large_cap,trade,buy 1 VOO limit 524.71 in regular: below band: 25.14% vs 26.00%-34.00%
2026-12-10 10:00:00-05:00,btc,ok,in band
2026-12-10 10:00:00-05:00,eth,ok,in band
2026-12-10 10:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-10 16:00:00-05:00,us_large_cap,skip,trade $19.05 under $25 minimum (below band: 25.93% vs 26.00%-34.00%; off-hours cap 25% of $76 needed)
2026-12-10 16:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-10 18:30:00-05:00,us_large_cap,ok,in band
2026-12-10 19:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-10 20:00:00-05:00,us_large_cap,hold,below band: 25.96% vs 26.00%-34.00%; frozen: no instrument for the pause session
2026-12-10 21:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 00:00:00-05:00,btc,trade,sell 0.001009 BTC-USD limit 120537 in overnight: above band: 37.11% vs 33.00%-37.00%
2026-12-11 00:30:00-05:00,btc,ok,in band
2026-12-11 01:30:00-05:00,btc,trade,sell 0.000533 BTC-USD limit 121260 in overnight: above band: 37.06% vs 33.00%-37.00%
2026-12-11 02:00:00-05:00,btc,ok,in band
2026-12-11 07:30:00-05:00,intl_equity,skip,"trade $3.75 under $25 minimum (cash flow: cash 13.05% above 13.00%, deploying; off-hours cap 25% of $15 needed)"
2026-12-11 08:00:00-05:00,intl_equity,ok,in band
2026-12-11 08:30:00-05:00,us_large_cap,ok,in band
2026-12-11 08:30:00-05:00,intl_equity,skip,"trade $3.75 under $25 minimum (cash flow: cash 13.03% above 13.00%, deploying; off-hours cap 25% of $15 needed)"
2026-12-11 08:30:00-05:00,us_large_cap,skip,"trade $20.90 under $25 minimum (cash flow: cash 13.03% above 13.00%, deploying)"
2026-12-11 09:00:00-05:00,intl_equity,ok,in band
2026-12-11 09:00:00-05:00,intl_equity,skip,"trade $3.34 under $25 minimum (cash flow: cash 13.01% above 13.00%, deploying)"
2026-12-11 09:00:00-05:00,us_large_cap,skip,"trade $8.16 under $25 minimum (below band: 26.00% vs 26.00%-34.00%; cash flow: cash 13.01% above 13.00%, deploying)"
2026-12-11 09:30:00-05:00,us_large_cap,ok,in band
2026-12-11 09:30:00-05:00,intl_equity,ok,in band
2026-12-11 09:30:00-05:00,intl_equity,skip,"trade $4.50 under $25 minimum (cash flow: cash 13.01% above 13.00%, deploying)"
2026-12-11 09:30:00-05:00,us_large_cap,skip,"trade $10.63 under $25 minimum (cash flow: cash 13.01% above 13.00%, deploying)"
2026-12-11 10:00:00-05:00,us_large_cap,ok,in band
2026-12-11 10:00:00-05:00,intl_equity,ok,in band
2026-12-11 10:00:00-05:00,intl_equity,skip,"trade $11.30 under $25 minimum (cash flow: cash 13.03% above 13.00%, deploying)"
2026-12-11 10:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 10:30:00-05:00,us_large_cap,ok,in band
2026-12-11 10:30:00-05:00,intl_equity,ok,in band
2026-12-11 10:30:00-05:00,intl_equity,skip,"trade $9.88 under $25 minimum (cash flow: cash 13.03% above 13.00%, deploying)"
2026-12-11 10:30:00-05:00,us_large_cap,skip,"trade $23.41 under $25 minimum (cash flow: cash 13.03% above 13.00%, deploying)"
2026-12-11 11:00:00-05:00,us_large_cap,ok,in band
2026-12-11 11:00:00-05:00,intl_equity,ok,in band
2026-12-11 11:00:00-05:00,intl_equity,skip,"trade $12.96 under $25 minimum (cash flow: cash 13.04% above 13.00%, deploying)"
2026-12-11 11:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 11:30:00-05:00,us_large_cap,ok,in band
2026-12-11 11:30:00-05:00,intl_equity,ok,in band
2026-12-11 11:30:00-05:00,intl_equity,skip,"trade $21.47 under $25 minimum (cash flow: cash 13.07% above 13.00%, deploying)"
2026-12-11 11:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 12:00:00-05:00,us_large_cap,ok,in band
2026-12-11 12:00:00-05:00,intl_equity,ok,in band
2026-12-11 12:00:00-05:00,intl_equity,skip,"trade $18.40 under $25 minimum (cash flow: cash 13.06% above 13.00%, deploying)"
2026-12-11 12:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 12:30:00-05:00,us_large_cap,ok,in band
2026-12-11 12:30:00-05:00,intl_equity,ok,in band
2026-12-11 12:30:00-05:00,intl_equity,skip,"trade $24.28 under $25 minimum (cash flow: cash 13.08% above 13.00%, deploying)"
2026-12-11 12:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 13:00:00-05:00,us_large_cap,ok,in band
2026-12-11 13:00:00-05:00,intl_equity,ok,in band
2026-12-11 13:00:00-05:00,intl_equity,skip,"trade $20.45 under $25 minimum (cash flow: cash 13.06% above 13.00%, deploying)"
2026-12-11 13:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 13:30:00-05:00,us_large_cap,ok,in band
2026-12-11 13:30:00-05:00,intl_equity,ok,in band
2026-12-11 13:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-11 13:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 14:00:00-05:00,us_large_cap,ok,in band
2026-12-11 14:00:00-05:00,intl_equity,ok,in band
2026-12-11 14:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-11 14:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 14:30:00-05:00,us_large_cap,ok,in band
2026-12-11 14:30:00-05:00,intl_equity,ok,in band
2026-12-11 14:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-11 14:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 15:00:00-05:00,us_large_cap,ok,in band
2026-12-11 15:00:00-05:00,intl_equity,ok,in band
2026-12-11 15:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-11 15:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 15:30:00-05:00,us_large_cap,ok,in band
2026-12-11 15:30:00-05:00,intl_equity,ok,in band
2026-12-11 15:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-11 15:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 16:00:00-05:00,us_large_cap,ok,in band
2026-12-11 16:00:00-05:00,intl_equity,ok,in band
2026-12-11 16:00:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.15% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 16:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 16:30:00-05:00,us_large_cap,ok,in band
2026-12-11 16:30:00-05:00,intl_equity,ok,in band
2026-12-11 16:30:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.14% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 16:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 17:00:00-05:00,us_large_cap,ok,in band
2026-12-11 17:00:00-05:00,intl_equity,ok,in band
2026-12-11 17:00:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.11% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 17:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 17:30:00-05:00,us_large_cap,ok,in band
2026-12-11 17:30:00-05:00,intl_equity,ok,in band
2026-12-11 17:30:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.12% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 17:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 18:00:00-05:00,us_large_cap,ok,in band
2026-12-11 18:00:00-05:00,intl_equity,ok,in band
2026-12-11 18:00:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.12% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 18:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 18:30:00-05:00,us_large_cap,ok,in band
2026-12-11 18:30:00-05:00,intl_equity,ok,in band
2026-12-11 18:30:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.12% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 18:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 19:00:00-05:00,us_large_cap,ok,in band
2026-12-11 19:00:00-05:00,intl_equity,ok,in band
2026-12-11 19:00:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.11% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 19:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 19:30:00-05:00,us_large_cap,ok,in band
2026-12-11 19:30:00-05:00,intl_equity,ok,in band
2026-12-11 19:30:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.13% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-11 19:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-11 20:00:00-05:00,us_large_cap,ok,in band
2026-12-11 20:00:00-05:00,intl_equity,ok,in band
2026-12-11 20:00:00-05:00,cash,hold,"cash flow: cash 13.08% above 13.00%, deploying, but no tradable sleeve to use it"
2026-12-11 21:30:00-05:00,us_large_cap,hold,below band: 25.97% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-11 22:30:00-05:00,us_large_cap,ok,in band
2026-12-12 06:00:00-05:00,us_large_cap,hold,below band: 25.99% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-12 07:30:00-05:00,us_large_cap,ok,in band
2026-12-12 09:00:00-05:00,us_large_cap,hold,below band: 25.96% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-12 09:30:00-05:00,us_large_cap,ok,in band
2026-12-12 10:30:00-05:00,us_large_cap,hold,below band: 25.97% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-12 11:30:00-05:00,us_large_cap,ok,in band
2026-12-12 13:30:00-05:00,us_large_cap,hold,below band: 25.94% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-12 14:00:00-05:00,us_large_cap,ok,in band
2026-12-13 13:00:00-05:00,eth,skip,trade $19.29 under $25 minimum (above band: 16.52% vs 13.50%-16.50%)
2026-12-13 13:30:00-05:00,eth,trade,sell 0.0151 ETH-USD limit 4194.56 in weekend: above band: 16.56% vs 13.50%-16.50%
2026-12-13 14:00:00-05:00,eth,ok,in band
2026-12-13 14:30:00-05:00,eth,trade,sell 0.00764 ETH-USD limit 4205.95 in weekend: above band: 16.53% vs 13.50%-16.50%
2026-12-13 15:00:00-05:00,eth,ok,in band
2026-12-13 16:00:00-05:00,us_large_cap,hold,below band: 25.98% vs 26.00%-34.00%; frozen: no instrument for the weekend session
2026-12-13 16:00:00-05:00,eth,trade,sell 0.02437 ETH-USD limit 4246.7 in weekend: above band: 16.60% vs 13.50%-16.50%
2026-12-13 16:30:00-05:00,eth,trade,sell 0.03276 ETH-USD limit 4293.44 in weekend: above band: 16.63% vs 13.50%-16.50%
2026-12-13 17:00:00-05:00,eth,ok,in band
2026-12-13 18:00:00-05:00,eth,trade,sell 0.00711 ETH-USD limit 4309.86 in weekend: above band: 16.53% vs 13.50%-16.50%
2026-12-13 18:30:00-05:00,eth,ok,in band
2026-12-13 19:00:00-05:00,eth,trade,sell 0.01758 ETH-USD limit 4328.2 in weekend: above band: 16.57% vs 13.50%-16.50%
2026-12-13 19:30:00-05:00,eth,skip,trade $3.13 under $25 minimum (above band: 16.50% vs 13.50%-16.50%)
2026-12-13 21:00:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.35% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-13 21:00:00-05:00,eth,trade,sell 0.02785 ETH-USD limit 4367.44 in overnight: above band: 16.61% vs 13.50%-16.50%
2026-12-13 21:00:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-13 21:30:00-05:00,intl_equity,ok,in band
2026-12-13 21:30:00-05:00,eth,ok,in band
2026-12-13 21:30:00-05:00,intl_equity,skip,"trade $11.91 under $25 minimum (cash flow: cash 13.45% above 13.00%, deploying; off-hours cap 25% of $48 needed)"
2026-12-13 22:00:00-05:00,intl_equity,ok,in band
2026-12-13 22:00:00-05:00,intl_equity,skip,"trade $16.07 under $25 minimum (cash flow: cash 13.48% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-13 22:30:00-05:00,intl_equity,ok,in band
2026-12-13 22:30:00-05:00,eth,skip,trade $4.16 under $25 minimum (above band: 16.50% vs 13.50%-16.50%)
2026-12-13 22:30:00-05:00,intl_equity,skip,"trade $16.07 under $25 minimum (cash flow: cash 13.44% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-13 23:00:00-05:00,intl_equity,ok,in band
2026-12-13 23:00:00-05:00,eth,ok,in band
2026-12-13 23:00:00-05:00,intl_equity,skip,"trade $16.07 under $25 minimum (cash flow: cash 13.46% above 13.00%, deploying; off-hours cap 25% of $64 needed)"
2026-12-13 23:30:00-05:00,intl_equity,ok,in band
2026-12-13 23:30:00-05:00,intl_equity,skip,"trade $24.06 under $25 minimum (cash flow: cash 13.52% above 13.00%, deploying; off-hours cap 25% of $96 needed)"
2026-12-14 00:00:00-05:00,intl_equity,ok,in band
2026-12-14 00:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 00:30:00-05:00,intl_equity,ok,in band
2026-12-14 00:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 01:00:00-05:00,intl_equity,ok,in band
2026-12-14 01:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 01:30:00-05:00,intl_equity,ok,in band
2026-12-14 01:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 02:00:00-05:00,intl_equity,ok,in band
2026-12-14 02:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 02:30:00-05:00,intl_equity,ok,in band
2026-12-14 02:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 03:00:00-05:00,intl_equity,ok,in band
2026-12-14 03:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 03:30:00-05:00,intl_equity,ok,in band
2026-12-14 03:30:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 04:00:00-05:00,intl_equity,ok,in band
2026-12-14 04:00:00-05:00,intl_equity,skip,VXUS trade rounds below the minimum at lot size 1
2026-12-14 04:30:00-05:00,intl_equity,ok,in band
