segment_type,segment,sample_size,positive_rate,precision,recall,false_negative_rate,brier_score,reliable_volume
country,"Congo, DRC",45,0.24444444444444444,0.47368421052631576,0.8181818181818182,0.18181818181818182,0.1921564619788174,True
country,Côte d'Ivoire,143,0.13286713286713286,0.20454545454545456,0.47368421052631576,0.5263157894736842,0.11316089171962218,True
country,Dominican Republic,3,0.0,0.0,,,0.02474539180203687,False
country,Ethiopia,9,0.0,,,,0.0033613322967950103,False
country,Ghana,34,0.0,0.0,,,0.06816081459630666,True
country,Guyana,27,0.14814814814814814,0.3333333333333333,0.25,0.75,0.1243234703341882,True
country,Haiti,127,0.031496062992125984,0.2857142857142857,0.5,0.5,0.02523469086788336,True
country,Kenya,1,0.0,,,,0.023861458126776394,False
country,Lesotho,2,0.0,0.0,,,0.0196241326089241,False
country,Mali,9,0.0,0.0,,,0.011008937930975064,False
country,Mozambique,113,0.2743362831858407,0.37735849056603776,0.6451612903225806,0.3548387096774194,0.2077142012919691,True
country,Namibia,14,0.07142857142857142,1.0,1.0,0.0,0.04506681953164852,False
country,Nigeria,150,0.07333333333333333,0.1232876712328767,0.8181818181818182,0.18181818181818182,0.07124912415183694,True
country,Pakistan,1,0.0,,,,0.0,False
country,Rwanda,112,0.13392857142857142,0.1,0.06666666666666667,0.9333333333333333,0.11755427369165665,True
country,Senegal,2,0.0,,,,0.023861458126776394,False
country,Sierra Leone,3,0.0,0.0,,,0.024614399380523098,False
country,South Africa,88,0.0,0.0,,,0.06368819960365375,True
country,South Sudan,32,0.125,1.0,0.25,0.75,0.0981611774873163,True
country,Swaziland,2,0.0,,,,0.005145977735769797,False
country,Tanzania,80,0.2,0.35714285714285715,0.3125,0.6875,0.15573637557685852,True
country,Togo,3,0.3333333333333333,0.5,1.0,0.0,0.23306900998673966,False
country,Uganda,111,0.08108108108108109,0.0,0.0,1.0,0.07413393224572631,True
country,Vietnam,122,0.0,,,,6.984188573091474e-05,True
country,Zambia,98,0.23469387755102042,0.4166666666666667,0.21739130434782608,0.782608695652174,0.20700287903663708,True
country,Zimbabwe,98,0.08163265306122448,0.16666666666666666,0.875,0.125,0.07009378945005701,True
shipment_mode,Air,841,0.06183115338882283,0.2571428571428571,0.5192307692307693,0.4807692307692308,0.05390283737116241,True
shipment_mode,Air Charter,100,0.02,0.03773584905660377,1.0,0.0,0.03783684444919468,True
shipment_mode,Ocean,45,0.0,0.0,,,0.0035277761362475413,True
shipment_mode,Truck,493,0.2129817444219067,0.20093457943925233,0.4095238095238095,0.5904761904761905,0.18678212499881683,True
product_group,ANTM,5,0.0,,,,0.0,False
product_group,ARV,1214,0.12108731466227347,0.19584569732937684,0.4489795918367347,0.5510204081632653,0.10729352248405523,True
product_group,HRDT,260,0.046153846153846156,0.16666666666666666,0.5,0.5,0.04270758434219947,True
fulfill_via,Direct Drop,859,0.013969732246798603,0.05504587155963303,0.5,0.5,0.023424381065011848,True
fulfill_via,From RDC,620,0.23709677419354838,0.25,0.4489795918367347,0.5510204081632653,0.19554316917704792,True
shipment_value_band,"(-inf, 11521.8]",351,0.07407407407407407,0.17721518987341772,0.5384615384615384,0.46153846153846156,0.07560443981049587,True
shipment_value_band,"(11521.8, 62495.0]",340,0.06764705882352941,0.12962962962962962,0.30434782608695654,0.6956521739130435,0.06364894707316189,True
shipment_value_band,"(232000.0, inf]",426,0.1619718309859155,0.22727272727272727,0.5797101449275363,0.42028985507246375,0.13558369775579454,True
shipment_value_band,"(62495.0, 232000.0]",362,0.1132596685082873,0.171875,0.2682926829268293,0.7317073170731707,0.09785042155327987,True
calendar_period,2014Q1,219,0.1506849315068493,0.26865671641791045,0.5454545454545454,0.45454545454545453,0.12402669613976715,True
calendar_period,2014Q2,240,0.1125,0.14285714285714285,0.48148148148148145,0.5185185185185185,0.10793891578210307,True
calendar_period,2014Q3,269,0.17100371747211895,0.2777777777777778,0.43478260869565216,0.5652173913043478,0.14150047863804305,True
calendar_period,2014Q4,182,0.027472527472527472,0.05555555555555555,0.2,0.8,0.030701147429140287,True
calendar_period,2015Q1,209,0.12440191387559808,0.18,0.34615384615384615,0.6538461538461539,0.10741246649439583,True
calendar_period,2015Q2,212,0.07075471698113207,0.12121212121212122,0.5333333333333333,0.4666666666666667,0.06943170309963041,True
calendar_period,2015Q3,145,0.04827586206896552,0.3333333333333333,0.42857142857142855,0.5714285714285714,0.051439556614671214,True
calendar_period,2015Q4,3,0.0,,,,0.004140710995444164,False
seen_supplier,seen,1400,0.11357142857142857,0.21238938053097345,0.4528301886792453,0.5471698113207547,0.0974145645797294,True
seen_supplier,unseen,79,0.0,0.0,,,0.06301161788599645,True
