Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday
6,1,2024-01-08,9020,752,1,1,0,0
1,2,2024-01-09,4917,410,1,0,0,0
2,2,2024-01-09,5355,446,1,0,0,0
3,2,2024-01-09,5893,491,1,0,0,0
4,2,2024-01-09,6196,516,1,0,0,0
5,2,2024-01-09,6698,558,1,0,0,0
6,2,2024-01-09,7008,584,1,0,0,0
1,3,2024-01-10,4864,405,1,0,0,0
2,3,2024-01-10,5346,446,1,0,0,0
3,3,2024-01-10,5390,449,1,0,0,0
4,3,2024-01-10,6015,501,1,0,0,0
5,3,2024-01-10,6408,534,1,0,0,0
6,3,2024-01-10,6797,566,1,0,0,0
1,4,2024-01-11,4928,411,1,0,0,0
2,4,2024-01-11,5667,472,1,0,0,0
3,4,2024-01-11,5662,472,1,0,0,0
4,4,2024-01-11,6412,534,1,0,0,0
5,4,2024-01-11,6355,530,1,0,0,0
6,4,2024-01-11,7018,585,1,0,0,0
1,5,2024-01-12,5522,460,1,0,0,0
2,5,2024-01-12,7618,635,1,1,0,0
3,5,2024-01-12,6460,538,1,0,0,0
4,5,2024-01-12,8495,708,1,1,0,0
5,5,2024-01-12,7110,592,1,0,0,0
6,5,2024-01-12,9109,759,1,1,0,0
1,6,2024-01-13,5310,442,1,0,0,0
2,6,2024-01-13,5541,462,1,0,0,0
3,6,2024-01-13,5766,480,1,0,0,0
4,6,2024-01-13,6212,518,1,0,0,0
5,6,2024-01-13,6670,556,1,0,0,0
6,6,2024-01-13,7345,612,1,0,0,0
1,7,2024-01-14,0,0,0,0,0,0
2,7,2024-01-14,0,0,0,0,0,0
3,7,2024-01-14,5334,444,1,0,0,0
4,7,2024-01-14,0,0,0,0,0,0
5,7,2024-01-14,0,0,0,0,0,0
6,7,2024-01-14,6692,558,1,0,0,0
1,1,2024-01-15,6902,575,1,1,0,0
2,1,2024-01-15,5828,486,1,0,0,0
3,1,2024-01-15,7932,661,1,1,0,0
4,1,2024-01-15,6584,549,1,0,0,0
5,1,2024-01-15,8742,728,1,1,0,0
6,1,2024-01-15,7360,613,1,0,0,0
1,2,2024-01-16,4924,410,1,0,0,0
2,2,2024-01-16,5340,445,1,0,0,0
3,2,2024-01-16,5614,468,1,0,0,0
4,2,2024-01-16,6337,528,1,0,0,0
5,2,2024-01-16,6585,549,1,0,0,0
6,2,2024-01-16,7091,591,1,0,0,0
1,3,2024-01-17,4984,415,1,0,0,0
2,3,2024-01-17,5398,450,1,0,0,0
3,3,2024-01-17,5857,488,1,0,0,0
4,3,2024-01-17,6140,512,1,0,0,0
5,3,2024-01-17,6501,542,1,0,0,0
6,3,2024-01-17,6983,582,1,0,0,0
1,4,2024-01-18,4751,396,1,0,0,0
2,4,2024-01-18,5214,434,1,0,0,0
3,4,2024-01-18,5657,471,1,0,0,0
4,4,2024-01-18,6135,511,1,0,0,0
5,4,2024-01-18,6807,567,1,0,0,0
6,4,2024-01-18,6992,583,1,0,0,0
1,5,2024-01-19,7093,591,1,1,0,0
2,5,2024-01-19,6214,518,1,0,0,0
3,5,2024-01-19,7936,661,1,1,0,0
4,5,2024-01-19,6953,579,1,0,0,0
5,5,2024-01-19,8673,723,1,1,0,0
6,5,2024-01-19,7624,635,1,0,0,0
1,6,2024-01-20,5044,420,1,0,0,0
2,6,2024-01-20,5574,464,1,0,0,0
3,6,2024-01-20,6206,517,1,0,0,0
4,6,2024-01-20,6164,514,1,0,0,0
5,6,2024-01-20,6973,581,1,0,0,0
6,6,2024-01-20,7358,613,1,0,0,0
1,7,2024-01-21,0,0,0,0,0,0
2,7,2024-01-21,0,0,0,0,0,0
3,7,2024-01-21,5251,438,1,0,0,0
4,7,2024-01-21,0,0,0,0,0,0
5,7,2024-01-21,0,0,0,0,0,0
6,7,2024-01-21,6358,530,1,0,0,0
1,1,2024-01-22,5432,453,1,0,0,0
2,1,2024-01-22,7344,612,1,1,0,0
3,1,2024-01-22,6301,525,1,0,0,0
4,1,2024-01-22,8283,690,1,1,0,0
5,1,2024-01-22,7388,616,1,0,0,0
6,1,2024-01-22,9076,756,1,1,0,0
1,2,2024-01-23,4835,403,1,0,0,0
2,2,2024-01-23,5472,456,1,0,0,0
3,2,2024-01-23,5899,492,1,0,0,0
4,2,2024-01-23,6524,544,1,0,0,0
5,2,2024-01-23,6850,571,1,0,0,0
6,2,2024-01-23,7184,599,1,0,0,0
1,3,2024-01-24,5181,432,1,0,0,0
2,3,2024-01-24,5124,427,1,0,0,0
3,3,2024-01-24,5643,470,1,0,0,0
4,3,2024-01-24,6011,501,1,0,0,0
5,3,2024-01-24,6528,544,1,0,0,0
6,3,2024-01-24,6770,564,1,0,0,0
1,4,2024-01-25,5179,432,1,0,0,0
2,4,2024-01-25,5445,454,1,0,0,0
3,4,2024-01-25,5640,470,1,0,0,0
4,4,2024-01-25,6142,512,1,0,0,0
5,4,2024-01-25,6801,567,1,0,0,0
6,4,2024-01-25,7316,610,1,0,0,0
1,5,2024-01-26,5920,493,1,0,0,0
2,5,2024-01-26,8105,675,1,1,0,0
3,5,2024-01-26,6475,540,1,0,0,0
4,5,2024-01-26,8242,687,1,1,0,0
5,5,2024-01-26,6857,571,1,0,0,0
6,5,2024-01-26,9309,776,1,1,0,0
1,6,2024-01-27,5058,422,1,0,0,0
2,6,2024-01-27,5550,462,1,0,0,0
3,6,2024-01-27,5935,495,1,0,0,0
4,6,2024-01-27,6439,537,1,0,0,0
5,6,2024-01-27,7077,590,1,0,0,0
6,6,2024-01-27,7333,611,1,0,0,0
1,7,2024-01-28,0,0,0,0,0,0
2,7,2024-01-28,0,0,0,0,0,0
3,7,2024-01-28,5309,442,1,0,0,0
4,7,2024-01-28,0,0,0,0,0,0
5,7,2024-01-28,0,0,0,0,0,0
6,7,2024-01-28,6411,534,1,0,0,0
1,1,2024-01-29,6688,557,1,1,0,0
2,1,2024-01-29,5722,477,1,0,0,0
3,1,2024-01-29,7819,652,1,1,0,0
4,1,2024-01-29,6967,581,1,0,0,0
5,1,2024-01-29,8693,724,1,1,0,0
6,1,2024-01-29,7666,639,1,0,0,0
1,2,2024-01-30,4889,407,1,0,0,0
2,2,2024-01-30,5186,432,1,0,0,0
3,2,2024-01-30,5646,470,1,0,0,0
4,2,2024-01-30,6109,509,1,0,0,0
5,2,2024-01-30,7042,587,1,0,0,0
6,2,2024-01-30,6931,578,1,0,0,0
1,3,2024-01-31,5019,418,1,0,0,0
2,3,2024-01-31,5126,427,1,0,0,0
3,3,2024-01-31,5876,490,1,0,0,0
4,3,2024-01-31,6198,516,1,0,0,0
5,3,2024-01-31,6520,543,1,0,0,0
6,3,2024-01-31,6961,580,1,0,0,0
1,4,2024-02-01,4888,407,1,0,0,0
2,4,2024-02-01,5506,459,1,0,0,0
3,4,2024-02-01,5764,480,1,0,0,0
4,4,2024-02-01,6045,504,1,0,0,0
5,4,2024-02-01,6456,538,1,0,0,0
6,4,2024-02-01,7137,595,1,0,0,0
1,5,2024-02-02,7377,615,1,1,0,0
2,5,2024-02-02,5941,495,1,0,0,0
3,5,2024-02-02,7911,659,1,1,0,0
4,5,2024-02-02,6804,567,1,0,0,0
5,5,2024-02-02,9008,751,1,1,0,0
6,5,2024-02-02,7632,636,1,0,0,0
1,6,2024-02-03,5054,421,1,0,0,0
2,6,2024-02-03,5747,479,1,0,0,0
3,6,2024-02-03,6045,504,1,0,0,0
4,6,2024-02-03,6664,555,1,0,0,0
5,6,2024-02-03,6841,570,1,0,0,0
6,6,2024-02-03,7007,584,1,0,0,0
1,7,2024-02-04,0,0,0,0,0,0
2,7,2024-02-04,0,0,0,0,0,0
3,7,2024-02-04,5006,417,1,0,0,0
4,7,2024-02-04,0,0,0,0,0,0
5,7,2024-02-04,0,0,0,0,0,0
6,7,2024-02-04,6810,568,1,0,0,0
1,1,2024-02-05,5606,467,1,0,0,0
2,1,2024-02-05,7284,607,1,1,0,0
3,1,2024-02-05,6067,506,1,0,0,0
4,1,2024-02-05,8419,702,1,1,0,0
5,1,2024-02-05,6777,565,1,0,0,0
6,1,2024-02-05,8835,736,1,1,0,0
1,2,2024-02-06,4994,416,1,0,0,0
2,2,2024-02-06,5227,436,1,0,0,0
3,2,2024-02-06,5718,476,1,0,0,0
4,2,2024-02-06,6109,509,1,0,0,0
5,2,2024-02-06,6619,552,1,0,0,0
6,2,2024-02-06,7232,603,1,0,0,0
1,3,2024-02-07,4777,398,1,0,0,0
2,3,2024-02-07,5296,441,1,0,0,0
3,3,2024-02-07,5231,436,1,0,0,0
4,3,2024-02-07,6012,501,1,0,0,0
5,3,2024-02-07,6289,524,1,0,0,0
6,3,2024-02-07,6641,553,1,0,0,0
1,4,2024-02-08,4733,394,1,0,0,0
2,4,2024-02-08,5251,438,1,0,0,0
3,4,2024-02-08,5896,491,1,0,0,0
4,4,2024-02-08,5913,493,1,0,0,0
5,4,2024-02-08,6577,548,1,0,0,0
6,4,2024-02-08,6904,575,1,0,0,0
1,5,2024-02-09,5313,443,1,0,0,0
2,5,2024-02-09,7573,631,1,1,0,0
3,5,2024-02-09,6309,526,1,0,0,0
4,5,2024-02-09,8473,706,1,1,0,0
5,5,2024-02-09,7024,585,1,0,0,0
6,5,2024-02-09,8947,746,1,1,0,0
1,6,2024-02-10,4962,414,1,0,0,0
2,6,2024-02-10,5466,456,1,0,0,0
3,6,2024-02-10,5874,490,1,0,0,0
4,6,2024-02-10,6067,506,1,0,0,0
5,6,2024-02-10,6698,558,1,0,0,0
6,6,2024-02-10,7143,595,1,0,0,0
1,7,2024-02-11,0,0,0,0,0,0
2,7,2024-02-11,0,0,0,0,0,0
3,7,2024-02-11,5575,465,1,0,0,0
4,7,2024-02-11,0,0,0,0,0,0
5,7,2024-02-11,0,0,0,0,0,0
6,7,2024-02-11,6720,560,1,0,0,0
1,1,2024-02-12,6608,551,1,1,0,0
2,1,2024-02-12,5530,461,1,0,0,0
3,1,2024-02-12,7338,612,1,1,0,0
4,1,2024-02-12,6315,526,1,0,0,0
5,1,2024-02-12,8498,708,1,1,0,0
6,1,2024-02-12,7478,623,1,0,0,0
1,2,2024-02-13,4609,384,1,0,0,0
2,2,2024-02-13,5043,420,1,0,0,0
3,2,2024-02-13,5194,433,1,0,0,0
4,2,2024-02-13,5971,498,1,0,0,0
5,2,2024-02-13,6229,519,1,0,0,0
6,2,2024-02-13,6745,562,1,0,0,0
1,3,2024-02-14,4212,351,1,0,0,1
2,3,2024-02-14,4773,398,1,0,0,1
3,3,2024-02-14,4893,408,1,0,0,1
4,3,2024-02-14,5365,447,1,0,0,1
5,3,2024-02-14,6433,536,1,0,0,1
6,3,2024-02-14,6238,520,1,0,0,1
1,4,2024-02-15,4301,358,1,0,0,1
2,4,2024-02-15,5249,437,1,0,0,1
3,4,2024-02-15,5861,488,1,0,0,1
4,4,2024-02-15,5548,462,1,0,0,1
5,4,2024-02-15,6112,509,1,0,0,1
6,4,2024-02-15,6660,555,1,0,0,1
1,5,2024-02-16,6889,574,1,1,0,1
2,5,2024-02-16,5220,435,1,0,0,1
3,5,2024-02-16,7374,614,1,1,0,1
4,5,2024-02-16,6378,532,1,0,0,1
5,5,2024-02-16,8336,695,1,1,0,1
6,5,2024-02-16,7010,584,1,0,0,1
1,6,2024-02-17,4833,403,1,0,0,0
2,6,2024-02-17,5030,419,1,0,0,0
3,6,2024-02-17,5654,471,1,0,0,0
4,6,2024-02-17,6069,506,1,0,0,0
5,6,2024-02-17,6579,548,1,0,0,0
6,6,2024-02-17,6857,571,1,0,0,0
1,7,2024-02-18,0,0,0,0,0,0
2,7,2024-02-18,0,0,0,0,0,0
3,7,2024-02-18,5062,422,1,0,0,0
4,7,2024-02-18,0,0,0,0,0,0
5,7,2024-02-18,0,0,0,0,0,0
6,7,2024-02-18,6419,535,1,0,0,0
1,1,2024-02-19,5045,420,1,0,0,0
2,1,2024-02-19,7100,592,1,1,0,0
3,1,2024-02-19,5866,489,1,0,0,0
4,1,2024-02-19,7877,656,1,1,0,0
5,1,2024-02-19,6567,547,1,0,0,0
6,1,2024-02-19,8774,731,1,1,0,0
1,2,2024-02-20,4580,382,1,0,0,0
2,2,2024-02-20,5394,450,1,0,0,0
3,2,2024-02-20,5721,477,1,0,0,0
4,2,2024-02-20,5927,494,1,0,0,0
5,2,2024-02-20,6140,512,1,0,0,0
6,2,2024-02-20,6497,541,1,0,0,0
1,3,2024-02-21,4693,391,1,0,0,0
2,3,2024-02-21,4946,412,1,0,0,0
3,3,2024-02-21,5405,450,1,0,0,0
4,3,2024-02-21,5425,452,1,0,0,0
5,3,2024-02-21,6326,527,1,0,0,0
6,3,2024-02-21,6660,555,1,0,0,0
1,4,2024-02-22,4411,368,1,0,0,0
2,4,2024-02-22,4946,412,1,0,0,0
3,4,2024-02-22,5498,458,1,0,0,0
4,4,2024-02-22,5880,490,1,0,0,0
5,4,2024-02-22,6238,520,1,0,0,0
6,4,2024-02-22,6692,558,1,0,0,0
1,5,2024-02-23,5048,421,1,0,0,0
2,5,2024-02-23,7141,595,1,1,0,0
3,5,2024-02-23,6198,516,1,0,0,0
4,5,2024-02-23,7491,624,1,1,0,0
5,5,2024-02-23,6731,561,1,0,0,0
6,5,2024-02-23,8825,735,1,1,0,0
1,6,2024-02-24,4780,398,1,0,0,0
2,6,2024-02-24,5080,423,1,0,0,0
3,6,2024-02-24,5250,438,1,0,0,0
4,6,2024-02-24,6046,504,1,0,0,0
5,6,2024-02-24,6718,560,1,0,0,0
6,6,2024-02-24,6551,546,1,0,0,0
1,7,2024-02-25,0,0,0,0,0,0
2,7,2024-02-25,0,0,0,0,0,0
3,7,2024-02-25,5007,417,1,0,0,0
4,7,2024-02-25,0,0,0,0,0,0
5,7,2024-02-25,0,0,0,0,0,0
6,7,2024-02-25,6052,504,1,0,0,0
1,1,2024-02-26,6486,540,1,1,0,0
2,1,2024-02-26,5127,427,1,0,0,0
3,1,2024-02-26,7276,606,1,1,0,0
4,1,2024-02-26,6391,533,1,0,0,0
5,1,2024-02-26,8281,690,1,1,0,0
6,1,2024-02-26,7308,609,1,0,0,0
1,2,2024-02-27,4695,391,1,0,0,0
2,2,2024-02-27,4982,415,1,0,0,0
3,2,2024-02-27,5637,470,1,0,0,0
4,2,2024-02-27,5822,485,1,0,0,0
5,2,2024-02-27,6312,526,1,0,0,0
6,2,2024-02-27,6530,544,1,0,0,0
1,3,2024-02-28,4383,365,1,0,0,0
2,3,2024-02-28,4665,389,1,0,0,0
3,3,2024-02-28,5389,449,1,0,0,0
4,3,2024-02-28,5419,452,1,0,0,0
5,3,2024-02-28,6192,516,1,0,0,0
6,3,2024-02-28,6436,536,1,0,0,0
1,4,2024-02-29,4721,393,1,0,0,0
2,4,2024-02-29,5065,422,1,0,0,0
3,4,2024-02-29,5677,473,1,0,0,0
4,4,2024-02-29,5901,492,1,0,0,0
5,4,2024-02-29,5907,492,1,0,0,0
6,4,2024-02-29,6598,550,1,0,0,0
1,5,2024-03-01,6389,532,1,1,a,0
2,5,2024-03-01,5327,444,1,0,a,0
3,5,2024-03-01,7712,643,1,1,a,0
4,5,2024-03-01,6375,531,1,0,a,0
5,5,2024-03-01,8154,680,1,1,a,0
6,5,2024-03-01,6917,576,1,0,a,0
1,6,2024-03-02,4647,387,1,0,0,0
2,6,2024-03-02,4842,404,1,0,0,0
3,6,2024-03-02,5361,447,1,0,0,0
4,6,2024-03-02,5958,496,1,0,0,0
5,6,2024-03-02,6529,544,1,0,0,0
6,6,2024-03-02,6851,571,1,0,0,0
1,7,2024-03-03,0,0,0,0,0,0
2,7,2024-03-03,0,0,0,0,0,0
3,7,2024-03-03,4362,364,1,0,0,0
4,7,2024-03-03,0,0,0,0,0,0
5,7,2024-03-03,0,0,0,0,0,0
6,7,2024-03-03,6089,507,1,0,0,0
1,1,2024-03-04,4841,403,1,0,0,0
2,1,2024-03-04,6923,577,1,1,0,0
3,1,2024-03-04,5959,497,1,0,0,0
4,1,2024-03-04,7317,610,1,1,0,0
5,1,2024-03-04,6402,534,1,0,0,0
6,1,2024-03-04,8635,720,1,1,0,0
1,2,2024-03-05,4139,345,1,0,0,0
2,2,2024-03-05,5110,426,1,0,0,0
3,2,2024-03-05,5330,444,1,0,0,0
4,2,2024-03-05,5836,486,1,0,0,0
5,2,2024-03-05,6001,500,1,0,0,0
6,2,2024-03-05,6671,556,1,0,0,0
1,3,2024-03-06,4513,376,1,0,0,0
2,3,2024-03-06,4783,399,1,0,0,0
3,3,2024-03-06,5203,434,1,0,0,0
4,3,2024-03-06,5630,469,1,0,0,0
5,3,2024-03-06,5846,487,1,0,0,0
6,3,2024-03-06,6395,533,1,0,0,0
1,4,2024-03-07,4442,370,1,0,0,0
2,4,2024-03-07,4959,413,1,0,0,0
3,4,2024-03-07,5490,458,1,0,0,0
4,4,2024-03-07,5539,462,1,0,0,0
5,4,2024-03-07,6127,511,1,0,0,0
6,4,2024-03-07,6836,570,1,0,0,0
1,5,2024-03-08,4836,403,1,0,0,0
2,5,2024-03-08,6842,570,1,1,0,0
3,5,2024-03-08,5846,487,1,0,0,0
4,5,2024-03-08,7982,665,1,1,0,0
5,5,2024-03-08,6652,554,1,0,0,0
6,5,2024-03-08,8909,742,1,1,0,0
1,6,2024-03-09,4775,398,1,0,0,0
2,6,2024-03-09,5193,433,1,0,0,0
3,6,2024-03-09,5561,463,1,0,0,0
4,6,2024-03-09,6300,525,1,0,0,0
5,6,2024-03-09,6264,522,1,0,0,0
6,6,2024-03-09,6361,530,1,0,0,0
1,7,2024-03-10,0,0,0,0,0,0
2,7,2024-03-10,0,0,0,0,0,0
3,7,2024-03-10,5053,421,1,0,0,0
4,7,2024-03-10,0,0,0,0,0,0
5,7,2024-03-10,0,0,0,0,0,0
6,7,2024-03-10,5942,495,1,0,0,0
1,1,2024-03-11,6448,537,1,1,0,0
2,1,2024-03-11,5484,457,1,0,0,0
3,1,2024-03-11,6980,582,1,1,0,0
4,1,2024-03-11,5863,489,1,0,0,0
5,1,2024-03-11,7820,652,1,1,0,0
6,1,2024-03-11,6785,565,1,0,0,0
1,2,2024-03-12,4513,376,1,0,0,0
2,2,2024-03-12,4949,412,1,0,0,0
3,2,2024-03-12,5324,444,1,0,0,0
4,2,2024-03-12,5440,453,1,0,0,0
5,2,2024-03-12,5698,475,1,0,0,0
6,2,2024-03-12,6544,545,1,0,0,0
1,3,2024-03-13,4256,355,1,0,0,0
2,3,2024-03-13,4844,404,1,0,0,0
3,3,2024-03-13,5308,442,1,0,0,0
4,3,2024-03-13,5626,469,1,0,0,0
5,3,2024-03-13,6158,513,1,0,0,0
6,3,2024-03-13,6483,540,1,0,0,0
1,4,2024-03-14,4595,383,1,0,0,0
2,4,2024-03-14,4793,399,1,0,0,0
3,4,2024-03-14,5308,442,1,0,0,0
4,4,2024-03-14,5795,483,1,0,0,0
5,4,2024-03-14,6328,527,1,0,0,0
6,4,2024-03-14,6529,544,1,0,0,0
1,5,2024-03-15,6704,559,1,1,0,0
2,5,2024-03-15,5382,448,1,0,0,0
3,5,2024-03-15,7429,619,1,1,0,0
4,5,2024-03-15,6419,535,1,0,0,0
5,5,2024-03-15,7931,661,1,1,0,0
6,5,2024-03-15,6876,573,1,0,0,0
1,6,2024-03-16,4404,367,1,0,0,0
2,6,2024-03-16,4671,389,1,0,0,0
3,6,2024-03-16,5389,449,1,0,0,0
4,6,2024-03-16,6066,506,1,0,0,0
5,6,2024-03-16,6300,525,1,0,0,0
6,6,2024-03-16,6806,567,1,0,0,0
1,7,2024-03-17,0,0,0,0,0,0
2,7,2024-03-17,0,0,0,0,0,0
3,7,2024-03-17,5019,418,1,0,0,0
4,7,2024-03-17,0,0,0,0,0,0
5,7,2024-03-17,0,0,0,0,0,0
6,7,2024-03-17,6322,527,1,0,0,0
1,1,2024-03-18,4884,407,1,0,0,0
2,1,2024-03-18,7160,597,1,1,0,0
3,1,2024-03-18,5753,479,1,0,0,0
4,1,2024-03-18,7606,634,1,1,0,0
5,1,2024-03-18,6470,539,1,0,0,0
6,1,2024-03-18,8330,694,1,1,0,0
1,2,2024-03-19,4351,363,1,0,0,0
2,2,2024-03-19,4867,406,1,0,0,0
3,2,2024-03-19,5496,458,1,0,0,0
4,2,2024-03-19,6081,507,1,0,0,0
5,2,2024-03-19,5942,495,1,0,0,0
6,2,2024-03-19,6682,557,1,0,0,0
1,3,2024-03-20,4239,353,1,0,0,0
2,3,2024-03-20,4932,411,1,0,0,0
3,3,2024-03-20,5243,437,1,0,0,0
4,3,2024-03-20,5357,446,1,0,0,0
5,3,2024-03-20,6274,523,1,0,0,0
6,3,2024-03-20,6418,535,1,0,0,0
1,4,2024-03-21,4497,375,1,0,0,0
2,4,2024-03-21,4821,402,1,0,0,0
3,4,2024-03-21,5315,443,1,0,0,0
4,4,2024-03-21,5930,494,1,0,0,0
5,4,2024-03-21,6239,520,1,0,0,0
6,4,2024-03-21,6752,563,1,0,0,0
1,5,2024-03-22,5176,431,1,0,0,0
2,5,2024-03-22,7368,614,1,1,0,0
3,5,2024-03-22,5889,491,1,0,0,0
4,5,2024-03-22,7705,642,1,1,0,0
5,5,2024-03-22,6983,582,1,0,0,0
6,5,2024-03-22,8751,729,1,1,0,0
1,6,2024-03-23,4979,415,1,0,0,0
2,6,2024-03-23,5268,439,1,0,0,0
3,6,2024-03-23,5595,466,1,0,0,0
4,6,2024-03-23,6101,508,1,0,0,0
5,6,2024-03-23,6810,568,1,0,0,0
6,6,2024-03-23,7253,604,1,0,0,0
1,7,2024-03-24,0,0,0,0,0,0
2,7,2024-03-24,0,0,0,0,0,0
3,7,2024-03-24,4950,412,1,0,0,0
4,7,2024-03-24,0,0,0,0,0,0
5,7,2024-03-24,0,0,0,0,0,0
6,7,2024-03-24,6226,519,1,0,0,0
1,1,2024-03-25,6811,568,1,1,0,0
2,1,2024-03-25,5285,440,1,0,0,0
3,1,2024-03-25,7517,626,1,1,0,0
4,1,2024-03-25,6272,523,1,0,0,0
5,1,2024-03-25,8353,696,1,1,0,0
6,1,2024-03-25,6967,581,1,0,0,0
1,2,2024-03-26,4351,363,1,0,0,0
2,2,2024-03-26,4684,390,1,0,0,0
3,2,2024-03-26,5276,440,1,0,0,0
4,2,2024-03-26,5814,484,1,0,0,0
5,2,2024-03-26,6264,522,1,0,0,0
6,2,2024-03-26,7086,590,1,0,0,0
1,3,2024-03-27,4756,396,1,0,0,0
2,3,2024-03-27,4804,400,1,0,0,0
3,3,2024-03-27,5460,455,1,0,0,0
4,3,2024-03-27,5744,479,1,0,0,0
5,3,2024-03-27,6186,516,1,0,0,0
6,3,2024-03-27,6690,558,1,0,0,0
1,4,2024-03-28,4839,403,1,0,0,0
2,4,2024-03-28,5087,424,1,0,0,0
3,4,2024-03-28,5759,480,1,0,0,0
4,4,2024-03-28,5782,482,1,0,0,0
5,4,2024-03-28,6409,534,1,0,0,0
6,4,2024-03-28,7295,608,1,0,0,0
1,5,2024-03-29,6889,574,1,1,0,0
2,5,2024-03-29,5927,494,1,0,0,0
3,5,2024-03-29,7705,642,1,1,0,0
4,5,2024-03-29,6613,551,1,0,0,0
5,5,2024-03-29,8518,710,1,1,0,0
6,5,2024-03-29,7318,610,1,0,0,0
1,6,2024-03-30,4529,377,1,0,0,1
2,6,2024-03-30,5167,431,1,0,0,1
3,6,2024-03-30,5356,446,1,0,0,1
4,6,2024-03-30,6049,504,1,0,0,1
5,6,2024-03-30,6545,545,1,0,0,1
6,6,2024-03-30,6835,570,1,0,0,1
1,7,2024-03-31,0,0,0,0,0,1
2,7,2024-03-31,0,0,0,0,0,1
3,7,2024-03-31,4779,398,1,0,0,1
4,7,2024-03-31,0,0,0,0,0,1
5,7,2024-03-31,0,0,0,0,0,1
6,7,2024-03-31,6172,514,1,0,0,1
1,1,2024-04-01,4856,405,1,0,0,1
2,1,2024-04-01,7100,592,1,1,0,1
3,1,2024-04-01,5422,452,1,0,0,1
4,1,2024-04-01,7711,643,1,1,0,1
5,1,2024-04-01,6233,519,1,0,0,1
6,1,2024-04-01,8342,695,1,1,0,1
1,2,2024-04-02,5027,419,1,0,0,0
2,2,2024-04-02,5363,447,1,0,0,0
3,2,2024-04-02,5492,458,1,0,0,0
4,2,2024-04-02,5771,481,1,0,0,0
5,2,2024-04-02,5928,494,1,0,0,0
6,2,2024-04-02,6784,565,1,0,0,0
1,3,2024-04-03,5138,428,1,0,0,0
2,3,2024-04-03,5200,433,1,0,0,0
3,3,2024-04-03,5441,453,1,0,0,0
4,3,2024-04-03,6046,504,1,0,0,0
5,3,2024-04-03,6101,508,1,0,0,0
6,3,2024-04-03,6749,562,1,0,0,0
1,4,2024-04-04,4890,408,1,0,0,0
2,4,2024-04-04,5277,440,1,0,0,0
3,4,2024-04-04,5854,488,1,0,0,0
4,4,2024-04-04,6194,516,1,0,0,0
5,4,2024-04-04,6672,556,1,0,0,0
6,4,2024-04-04,6848,571,1,0,0,0
1,5,2024-04-05,5553,463,1,0,0,0
2,5,2024-04-05,7705,642,1,1,0,0
3,5,2024-04-05,6057,505,1,0,0,0
4,5,2024-04-05,8092,674,1,1,0,0
5,5,2024-04-05,7312,609,1,0,0,0
6,5,2024-04-05,9057,755,1,1,0,0
1,6,2024-04-06,5313,443,1,0,0,0
2,6,2024-04-06,5401,450,1,0,0,0
3,6,2024-04-06,6162,514,1,0,0,0
4,6,2024-04-06,6344,529,1,0,0,0
5,6,2024-04-06,6787,566,1,0,0,0
