ts,sleeve,action,detail
2026-12-13 22:00:00-05:00,us_large_cap,ok,in band
2026-12-13 22:30:00-05:00,eth,skip,trade $9.78 under $25 minimum (above band: 12.01% vs 8.00%-12.00%)
2026-12-13 22:30:00-05:00,us_large_cap,skip,trade $6.80 under $25 minimum (below band: 41.97% vs 42.00%-48.00%; off-hours cap 25% of $27 needed)
2026-12-13 23:00:00-05:00,us_large_cap,ok,in band
2026-12-13 23:00:00-05:00,eth,ok,in band
2026-12-14 21:00:00-05:00,us_large_cap,skip,trade $14.13 under $25 minimum (below band: 41.95% vs 42.00%-48.00%; off-hours cap 25% of $57 needed)
2026-12-14 22:00:00-05:00,eth,trade,sell 0.00627 ETH-USD limit 4378.43 in overnight: above band: 12.03% vs 8.00%-12.00%
2026-12-14 22:30:00-05:00,eth,trade,sell 0.01188 ETH-USD limit 4411.17 in overnight: above band: 12.05% vs 8.00%-12.00%
2026-12-14 22:30:00-05:00,us_large_cap,skip,VOO trade rounds below the minimum at lot size 1
2026-12-14 23:00:00-05:00,us_large_cap,ok,in band
2026-12-14 23:00:00-05:00,eth,ok,in band
